Num,ID,Created_at,Fav,retweets,text,media1,media2,media3,media4,compund,neg,neu,pos
889,951554340283731970,2018-01-11 20:40:08,306,81,.@MookMorris2 knocks down the fade-away to close the quarter! ? https://t.co/JgheuUdmly,https://video.twimg.com/amplify_video/951553757971668992/vid/1280x720/cg06PAqI_vYrWbjw.mp4,N/A,N/A,N/A,0,0,1,0
890,951553391787937792,2018-01-11 20:36:22,251,77,"End of Q1: Sixers 28, Celtics 23

Marcus Morris has a team-high 7pts (3-for-4 shooting), followed by Aron Baynes with 6pts. Brown &amp; Irving have 4pts apiece. Horford: 4ast.

J.J. Redick leads Philadelphia with 13pts.",N/A,N/A,N/A,N/A,0,0,1,0
891,951550574952157187,2018-01-11 20:25:10,417,246,Al Horford finds Baynes for ??#NBAVote https://t.co/mgHs216CeT,https://video.twimg.com/amplify_video/951550309511389184/vid/1280x720/X40Shyb3MBFNnkok.mp4,N/A,N/A,N/A,0,0,1,0
892,951546006151319552,2018-01-11 20:07:01,949,275,"?? GAMETIME ??

Starting lineup: https://t.co/Ed7EyD1bJp",N/A,N/A,N/A,N/A,0,0,1,0
893,951519542236405760,2018-01-11 18:21:51,899,226,"London, are you ready? ?? https://t.co/Z6iCg3WCJY",https://video.twimg.com/ext_tw_video/951519101494743041/pu/vid/1280x720/D3U7ZN4xjVSvNseR.mp4,N/A,N/A,N/A,0.3612,0,0.667,0.33299999999999996
894,951515417197137920,2018-01-11 18:05:28,0,241,RT @ESPNForsberg: Those orange wristbands that Marcus Smart wears? His way of letting Sammy Dubois know he was rooting for her during her t“,N/A,N/A,N/A,N/A,0.4019,0,0.895,0.105
895,951514247791603712,2018-01-11 18:00:49,0,74,"RT @NBA: Afternoon Tea with @JohnAmaechi... featuring Cedric Maxwell, Brian @Scalabrine, @officialmutombo &amp; Andre Miller! #NBALondon

?: #C“",https://video.twimg.com/amplify_video/951480712259129344/vid/1280x720/xYEqgkpklorENza_.mp4,N/A,N/A,N/A,0,0,1,0
896,951514094762446848,2018-01-11 18:00:13,128,32,Will winning the turnover battle decide today's result? How do we and Philadelphia match up? ? today's Gameday Analytics presented by @generalelectric. https://t.co/RvfhVZurja,https://video.twimg.com/ext_tw_video/951514065368629248/pu/vid/1280x720/9JmuqVzzv9_eT65d.mp4,N/A,N/A,N/A,0.2869,0.099,0.759,0.14300000000000002
897,951512350837952514,2018-01-11 17:53:17,933,214,? @TheO2 https://t.co/j02oTEoBit,http://pbs.twimg.com/media/DTRzbiTWAAUAFU8.jpg,http://pbs.twimg.com/media/DTRzbhkWAAYq3LB.jpg,http://pbs.twimg.com/media/DTRzbhfWAAgRQtg.jpg,http://pbs.twimg.com/media/DTRzbhhXkAAirIu.jpg,0,0,1,0
898,951493754346553344,2018-01-11 16:39:23,337,229,"?2-for-1 voting is back?

Vote Celtics on https://t.co/uHoF62G6mS and the Celtics App for your votes to count twice today. https://t.co/AQL9Q5bdl6",N/A,N/A,N/A,N/A,0,0,1,0
899,951480895059451904,2018-01-11 15:48:17,3,0,@alibendertv @sixers Easy choice ?????????????????,N/A,N/A,N/A,N/A,0.4404,0,0.58,0.42
900,951471569523625985,2018-01-11 15:11:14,909,217,"It's gameday in London! 

#NBALondon https://t.co/JFdCgo3Cvc",https://video.twimg.com/ext_tw_video/951471507284389888/pu/vid/1280x720/QsUpnWHMCANvGhdj.mp4,N/A,N/A,N/A,0,0,1,0
901,951457203696865282,2018-01-11 14:14:09,229,27,What have the #Celtics been up to in London? Check out the @SamsoniteUSA Road Lens for behind-the-scenes photos at the #NBALondon Game ?? https://t.co/LAkz6L0cF5 https://t.co/SDeBIsHOUv,http://pbs.twimg.com/media/DTRBK0MX0AE7eB1.jpg,N/A,N/A,N/A,0,0,1,0
902,951423488144834560,2018-01-11 12:00:10,2020,557,"TODAY ?? #Celtics vs @sixers in London 
?@TheO2 
? 3:00 p.m.
? https://t.co/B1lvM9HPcY 
? @NBCSBoston &amp; @NBATV 
?@985TheSportsHub https://t.co/uXKgoyOeGP",http://pbs.twimg.com/media/DTQinnYVAAEL7JY.jpg,N/A,N/A,N/A,0,0,1,0
903,951245356280565760,2018-01-11 0:12:20,1515,4574,Jaylen Brown #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
904,951245225506344962,2018-01-11 0:11:49,2491,6502,Jayson Tatum #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
905,951245153699844097,2018-01-11 0:11:32,657,3280,Al Horford #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
906,951245094312701952,2018-01-11 0:11:18,1075,4410,Kyrie Irving #NBAVote,N/A,N/A,N/A,N/A,0,0,1,0
907,951245039702855681,2018-01-11 0:11:05,683,420,"Only 5 days left to #VoteCeltics

RT each tweet in this thread to cast your vote",N/A,N/A,N/A,N/A,0,0,1,0
908,951239691436732417,2018-01-10 23:49:50,432,85,".@FCHWPO and @semi spent went to the @ChelseaFC vs @Arsenal game today where they went 9 for 10 on Chelsea trivia.

Check out the full video: https://t.co/RPgFldKJSf https://t.co/ydUTtyL3zn",https://video.twimg.com/ext_tw_video/951239396354936837/pu/vid/1280x720/_gQb6iDHnHy41QY3.mp4,N/A,N/A,N/A,0,0,1,0
909,951162712255582208,2018-01-10 18:43:57,260,50,".@DTP_Mario, @dtheis10, @AbdelNader2 &amp; @semi helped make care packages with handmade cards for the Great Ormond Street Hospital Children?s Charity #NBACares https://t.co/NGsN0NCc4r",http://pbs.twimg.com/media/DTM1aswW4AI1Vkx.jpg,http://pbs.twimg.com/media/DTM1aszXkAEuzNX.jpg,http://pbs.twimg.com/media/DTM1asxWkAAAHhx.jpg,N/A,0.8779,0,0.653,0.34700000000000003
910,951156382836850689,2018-01-10 18:18:47,369,65,Following day two of practice the Celtics preview some of the challenges they will face tomorrow night against the 76ers. https://t.co/lrpB5WxLsy,https://video.twimg.com/amplify_video/951150550535598085/vid/1280x720/u-9PmftL6Rx5QCod.mp4,N/A,N/A,N/A,0.0772,0,0.9390000000000001,0.061
911,951134885103722496,2018-01-10 16:53:22,283,45,Wondering what the Celtics are up to tonight in London? Here's a breakdown of all of their plans: https://t.co/QiSOvr576o,N/A,N/A,N/A,N/A,0,0,1,0
