old_movie_id,movie_title,director_name,main_actor,genre_id
355,Whiplash ,Damien Chazelle,J.K. Simmons,1
356,National Treasure ,Jon Turteltaub,Nicolas Cage,2
357,Shallow Hal ,Bobby Farrelly,Jason Alexander,6
358,The Banger Sisters ,Bob Dolman,Erika Christensen,6
359,CJ7 ,Stephen Chow,Jiao Xu,7
360,Nothing But a Man ,Michael Roemer,Yaphet Kotto,1
361,Mission: Impossible - Rogue Nation ,Christopher McQuarrie,Tom Cruise,3
362,Scarface ,Brian De Palma,Al Pacino,1
363,Saw VI ,Kevin Greutert,Costas Mandylor,5
364,Taxman ,Avi Nesher,Fisher Stevens,10
365,Get Him to the Greek ,Nicholas Stoller,Pink,6
366,"20,000 Leagues Under the Sea ",Richard Fleischer,James Mason,7
367,Hop ,Tim Hill,Gary Cole,13
368,Dead Man's Shoes ,Shane Meadows,Paddy Considine,10
369,Hoodwinked! ,Cory Edwards,Anne Hathaway,17
370,Lady Vengeance ,Chan-wook Park,Min-sik Choi,1
371,Who Killed the Electric Car? ,Chris Paine,Ed Begley Jr.,18
372,Sweet Sweetback's Baadasssss Song ,Melvin Van Peebles,John Amos,1
374,Tales from the Crypt: Demon Knight ,Ernest R. Dickerson,CCH Pounder,12
375,Monsters vs. Aliens ,Rob Letterman,Amy Poehler,3
376,A Few Good Men ,Rob Reiner,Tom Cruise,8
377,Get Real             ,,Anne Hathaway,1
378,The Incredibly True Adventure of Two Girls in Love ,Maria Maggenti,Nicole Ari Parker,6
379,The Fault in Our Stars ,Josh Boone,Shailene Woodley,1
380,The Iron Giant ,Brad Bird,Vin Diesel,3
381,The Wolverine ,James Mangold,Hugh Jackman,8
382,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Richard Rich,Debi Derryberry,8
383,The Pink Panther ,Shawn Levy,Roger Rees,5
384,Mississippi Mermaid ,François Truffaut,Catherine Deneuve,1
385,Kill the Messenger ,Michael Cuesta,Jeremy Renner,10
386,Burlesque ,Steve Antin,Eric Dane,9
387,Brothers ,Jim Sheridan,Natalie Portman,1
388,The Lost Weekend ,Billy Wilder,Ray Milland,1
389,The Conjuring ,James Wan,Mackenzie Foy,8
