Movie_ID,movie_names,gross_value,imdb_ratings,metscores,movie_description,runtime,votes,certificate,certificate_id,year_release,year_id,Genre1,Genre2,Genre3,director_name,Director_id,star1,star2,star3,star4,star5,star6
56,Never Let Me Go,2434652,7.2,69,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.",103 min,123068,R,2,2010,1,Drama, Romance, Sci-Fi            ,Mark Romanek,56,Mark Romanek, Keira Knightley, Carey Mulligan, Andrew Garfield,null,null
57,Winter's Bone,6531503,7.2,90,"An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.",100 min,120876,R,2,2010,1,Drama            ,null,null,Debra Granik,57,Debra Granik, Jennifer Lawrence, John Hawkes, Garret Dillahunt,null,null
58,The Chronicles of Narnia: The Voyage of the Dawn Treader,104386950,6.3,53,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",113 min,119707,PG,4,2010,1,Adventure, Family, Fantasy            ,Michael Apted,58,Michael Apted, Ben Barnes, Skandar Keynes, Georgie Henley,null,null
59,Dear John,80014842,6.3,43,"A romantic drama about a soldier who falls for a conservative college student while he's home on leave.",108 min,119322,PG-13,1,2010,1,Drama, Romance, War            ,Lasse Hallstrí__m,59,Lasse Hallstrí__m, Channing Tatum, Amanda Seyfried, Richard Jenkins,null,null
60,It's Kind of a Funny Story,6350058,7.1,63,"A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.",101 min,119088,PG-13,1,2010,1,Comedy, Drama, Romance            ,Anna Boden,60,Anna Boden, Ryan Fleck, Keir Gilchrist, Zach Galifianakis, Emma Roberts,null
61,Green Zone,35053660,6.8,63,"Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.",115 min,118131,R,2,2010,1,Action, Drama, Thriller            ,Paul Greengrass,61,Paul Greengrass, Matt Damon, Jason Isaacs, Greg Kinnear,null,null
62,The Kids Are All Right,20811365,7,86,"Two children conceived by artificial insemination bring their biological father into their non-traditional family life.",106 min,117159,R,2,2010,1,Comedy, Drama, Romance            ,Lisa Cholodenko,62,Lisa Cholodenko, Annette Bening, Julianne Moore, Mark Ruffalo,null,null
63,Devil,33583175,6.2,44,"A group of people are trapped in an elevator and the Devil is mysteriously amongst them.",80 min,115395,PG-13,1,2010,1,Horror, Mystery, Thriller            ,John Erick Dowdle,63,John Erick Dowdle, Chris Messina, Caroline Dhavernas, Bokeem Woodbine,null,null
64,She's Out of My League,31584722,6.4,46,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",104 min,109563,R,2,2010,1,Comedy, Romance            ,null,Jim Field Smith,64,Jim Field Smith, Jay Baruchel, Alice Eve, T.J. Miller,null,null
65,Life as We Know It,53374681,6.6,39,"Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.",114 min,106392,PG-13,1,2010,1,Comedy, Drama, Romance            ,Greg Berlanti,65,Greg Berlanti, Katherine Heigl, Josh Duhamel, Josh Lucas,null,null
66,The Bounty Hunter,67061228,5.5,22,"A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.",110 min,106276,PG-13,1,2010,1,Action, Comedy, Romance            ,Andy Tennant,66,Andy Tennant, Jennifer Aniston, Gerard Butler, Gio Perez,null,null
67,Incendies,6857096,8.2,80,"Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.",131 min,106205,R,2,2010,1,Drama, Mystery, War            ,Denis Villeneuve,67,Denis Villeneuve, Lubna Azabal, Mí_Œ©lissa Dí_Œ©sormeaux-Poulin, Maxim Gaudette,null,null
68,From Paris with Love,23979741,6.5,42,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",92 min,103532,R,2,2010,1,Action, Crime, Thriller            ,Pierre Morel,68,Pierre Morel, John Travolta, Jonathan Rhys Meyers, Kasia Smutniak,null,null
69,Valentine's Day,110485654,5.7,34,"Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.",125 min,102411,PG-13,1,2010,1,Comedy, Romance            ,null,Garry Marshall,69,Garry Marshall, Julia Roberts, Jamie Foxx, Anne Hathaway,null,null
70,Let Me In,12134420,7.2,79,"A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.",116 min,101173,R,2,2010,1,Drama, Fantasy, Horror            ,Matt Reeves,70,Matt Reeves, Kodi Smit-McPhee, Chloí_Œ‰ Grace Moretz, Richard Jenkins,null,null
71,The Crazies,39123589,6.5,55,"About the inhabitants of a small Iowa town suddenly plagued by insanity and then death after a mysterious toxin contaminates their water supply.",101 min,100036,R,2,2010,1,Horror, Thriller            ,null,Breck Eisner,71,Breck Eisner, Radha Mitchell, Timothy Olyphant, Danielle Panabaker,null,null
72,The Way Back,2701859,7.3,66,"Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",133 min,96747,PG-13,1,2010,1,Adventure, Drama, History            ,Peter Weir,72,Peter Weir, Jim Sturgess, Ed Harris, Colin Farrell,null,null
73,The Wolfman,61979680,5.8,43,"Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.",103 min,94414,R,2,2010,1,Drama, Fantasy, Horror            ,Joe Johnston,73,Joe Johnston, Benicio Del Toro, Anthony Hopkins, Emily Blunt,null,null
74,Little Fockers,148383780,5.5,27,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",98 min,93871,PG-13,1,2010,1,Comedy, Romance            ,null,Paul Weitz,74,Paul Weitz, Ben Stiller, Teri Polo, Robert De Niro,null,null
75,Repo Men,13794835,6.3,32,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",111 min,92917,R,2,2010,1,Action, Crime, Sci-Fi            ,Miguel Sapochnik,75,Miguel Sapochnik, Jude Law, Forest Whitaker, Alice Braga,null,null
76,Wall Street: Money Never Sleeps,52474616,6.2,59,"Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",133 min,90007,PG-13,1,2010,1,Drama            ,null,null,Oliver Stone,76,Oliver Stone, Shia LaBeouf, Michael Douglas, Carey Mulligan,null,null
77,Paranormal Activity 2,84752907,5.7,53,"After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem.",91 min,89020,R,2,2010,1,Horror            ,null,null,Tod Williams,77,Tod Williams, Katie Featherston, Micah Sloat, Molly Ephraim,null,null
78,Legion,40168080,5.2,32,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",100 min,87277,R,2,2010,1,Action, Fantasy, Horror            ,Scott Stewart,78,Scott Stewart, Paul Bettany, Dennis Quaid, Charles S. Dutton,null,null
79,Faster,23240020,6.5,44,"An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.",98 min,86892,R,2,2010,1,Action, Crime, Drama            ,George Tillman Jr.,79,George Tillman Jr., Dwayne Johnson, Billy Bob Thornton, Maggie Grace,null,null
80,Dinner for Schmucks,73026337,5.9,56,"When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest.",114 min,86168,PG-13,1,2010,1,Comedy            ,null,null,Jay Roach,80,Jay Roach, Steve Carell, Paul Rudd, Stephanie Szostak,null,null
81,The Switch,27758465,6.1,52,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",101 min,85886,PG-13,1,2010,1,Comedy, Drama, Romance            ,Josh Gordon,81,Josh Gordon, Will Speck, Jennifer Aniston, Jason Bateman, Patrick Wilson,null
82,I Saw the Devil,128392,7.8,67,"A secret agent exacts revenge on a serial killer through a series of captures and releases.",142 min,85025,Not Rated,5,2010,1,Action, Drama, Horror            ,Jee-woon Kim,82,Jee-woon Kim, Byung-hun Lee, Min-sik Choi, Joon-hyeok Lee,null,null
83,Hereafter,32746941,6.5,56,"A drama centered on three people -- a blue-collar American, a French journalist and a London school boy -- who are touched by death in different ways.",129 min,84495,PG-13,1,2010,1,Drama, Fantasy            ,null,Clint Eastwood,83,Clint Eastwood, Matt Damon, Cí_Œ©cile de France, Bryce Dallas Howard,null,null
84,The American,35606376,6.3,61,"An assassin hides out in Italy for one last assignment.",105 min,84182,R,2,2010,1,Crime, Drama, Thriller            ,Anton Corbijn,84,Anton Corbijn, George Clooney, Paolo Bonacelli, Violante Placido,null,null
85,My Name Is Khan,4018695,8,50,"An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President seriously, and embarks on a cross-country journey.",165 min,83941,PG-13,1,2010,1,Drama            ,null,null,Karan Johar,85,Karan Johar, Shah Rukh Khan, Kajol, Sheetal Menon,null,null
