id,created_at,tweets,user_id,user_location,retweet_count,Urls,Media,game
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
215,2018-04-16 14:31:31,Working on some Little Pips for Brony Con :3 #littlepip #pip #lilpip #unicorn #mare #chibi #bronycon2018 #bronycon… https://t.co/WkbuQ6sglV,4842124143,United States,0,"[{'url': 'https://t.co/WkbuQ6sglV', 'expanded_url': 'https://twitter.com/i/web/status/985888421402071040', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [116, 139]}]",,Fallout 3
217,2018-04-16 13:30:17,RT @midnitereviews: 10 Classic Sci-fi Movies Referenced in Fallout 3 and Fallout: New Vegas #scifi #fallout https://t.co/r0xYxyPtAr https:/…,2856220003,Houston,1,"[{'url': 'https://t.co/r0xYxyPtAr', 'expanded_url': 'http://midnitereviews.com/2018/04/10-classic-sci-fi-movies-referenced-in-fallout-3-and-fallout-new-vegas/', 'display_url': 'midnitereviews.com/2018/04/10-cla…', 'indices': [108, 131]}]",,Fallout 3
217,2018-04-16 13:30:17,RT @midnitereviews: 10 Classic Sci-fi Movies Referenced in Fallout 3 and Fallout: New Vegas #scifi #fallout https://t.co/r0xYxyPtAr https:/…,2856220003,Houston,1,"[{'url': 'https://t.co/r0xYxyPtAr', 'expanded_url': 'http://midnitereviews.com/2018/04/10-classic-sci-fi-movies-referenced-in-fallout-3-and-fallout-new-vegas/', 'display_url': 'midnitereviews.com/2018/04/10-cla…', 'indices': [108, 131]}]",,Fallout 3
218,2018-04-16 13:00:19,10 Classic Sci-fi Movies Referenced in Fallout 3 and Fallout: New Vegas #scifi #fallout https://t.co/r0xYxyPtAr https://t.co/z6YJbBZgWt,3295745254,,1,"[{'url': 'https://t.co/r0xYxyPtAr', 'expanded_url': 'http://midnitereviews.com/2018/04/10-classic-sci-fi-movies-referenced-in-fallout-3-and-fallout-new-vegas/', 'display_url': 'midnitereviews.com/2018/04/10-cla…', 'indices': [88, 111]}]","[{'id': 985865469604184064, 'id_str': '985865469604184064', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/Da5_a9gUwAAif0b.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da5_a9gUwAAif0b.jpg', 'url': 'https://t.co/z6YJbBZgWt', 'display_url': 'pic.twitter.com/z6YJbBZgWt', 'expanded_url': 'https://twitter.com/midnitereviews/status/985865471751749632/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 480, 'resize': 'fit'}, 'small': {'w': 640, 'h': 480, 'resize': 'fit'}}}]",Fallout 3
218,2018-04-16 13:00:19,10 Classic Sci-fi Movies Referenced in Fallout 3 and Fallout: New Vegas #scifi #fallout https://t.co/r0xYxyPtAr https://t.co/z6YJbBZgWt,3295745254,,1,"[{'url': 'https://t.co/r0xYxyPtAr', 'expanded_url': 'http://midnitereviews.com/2018/04/10-classic-sci-fi-movies-referenced-in-fallout-3-and-fallout-new-vegas/', 'display_url': 'midnitereviews.com/2018/04/10-cla…', 'indices': [88, 111]}]","[{'id': 985865469604184064, 'id_str': '985865469604184064', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/Da5_a9gUwAAif0b.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Da5_a9gUwAAif0b.jpg', 'url': 'https://t.co/z6YJbBZgWt', 'display_url': 'pic.twitter.com/z6YJbBZgWt', 'expanded_url': 'https://twitter.com/midnitereviews/status/985865471751749632/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 480, 'resize': 'fit'}, 'small': {'w': 640, 'h': 480, 'resize': 'fit'}}}]",Fallout 3
219,2018-04-16 11:31:24,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",3221191318,"Bilbao, Euskal Herria",12,[],,Fallout 3
219,2018-04-16 11:31:24,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",3221191318,"Bilbao, Euskal Herria",12,[],,Fallout 3
220,2018-04-16 11:09:17,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2854842908,Spain,12,[],,Fallout 3
220,2018-04-16 11:09:17,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2854842908,Spain,12,[],,Fallout 3
222,2018-04-16 10:19:58,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2174582900,,12,[],,Fallout 3
222,2018-04-16 10:19:58,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2174582900,,12,[],,Fallout 3
223,2018-04-16 10:05:16,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",913152230924091394,,12,[],,Fallout 3
223,2018-04-16 10:05:16,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",913152230924091394,,12,[],,Fallout 3
224,2018-04-16 10:04:58,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",620005554,"Huelva ~ Valencia, España.",12,[],,Fallout 3
224,2018-04-16 10:04:58,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",620005554,"Huelva ~ Valencia, España.",12,[],,Fallout 3
225,2018-04-16 09:53:37,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2482288047,,12,[],,Fallout 3
225,2018-04-16 09:53:37,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",2482288047,,12,[],,Fallout 3
226,2018-04-16 09:49:19,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",3340041801,Puerto de la cruz,12,[],,Fallout 3
226,2018-04-16 09:49:19,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",3340041801,Puerto de la cruz,12,[],,Fallout 3
227,2018-04-16 09:44:40,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",730507811260669952,República de Catalunya ,12,[],,Fallout 3
227,2018-04-16 09:44:40,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",730507811260669952,República de Catalunya ,12,[],,Fallout 3
228,2018-04-16 09:36:51,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",799196791396794368,"London, England",12,[],,Fallout 3
228,2018-04-16 09:36:51,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",799196791396794368,"London, England",12,[],,Fallout 3
229,2018-04-16 09:34:41,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",450087072,SJFC - Madrid - Wind - Shakkin,12,[],,Fallout 3
229,2018-04-16 09:34:41,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",450087072,SJFC - Madrid - Wind - Shakkin,12,[],,Fallout 3
230,2018-04-16 09:31:17,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",248761028,Barcelona.Spain,12,[],,Fallout 3
230,2018-04-16 09:31:17,"RT @bethesda_ESP: Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitada. Los…",248761028,Barcelona.Spain,12,[],,Fallout 3
231,2018-04-16 09:31:00,"Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitad… https://t.co/42DdS5w0eM",518946859,,12,"[{'url': 'https://t.co/42DdS5w0eM', 'expanded_url': 'https://twitter.com/i/web/status/985812794523217930', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Fallout 3
231,2018-04-16 09:31:00,"Queridos fans de #Fallout, estamos apoyando  @WarChild_Gaming y #retroREPLAY con estas camisetas de edición limitad… https://t.co/42DdS5w0eM",518946859,,12,"[{'url': 'https://t.co/42DdS5w0eM', 'expanded_url': 'https://twitter.com/i/web/status/985812794523217930', 'display_url': 'twitter.com/i/web/status/9…', 'indices': [117, 140]}]",,Fallout 3
232,2018-04-15 22:37:04,Fallout 3 #3 Dunwich Building +Other Stuff https://t.co/CkqvIGFHst via @YouTube One of my pals is playing Fallout 3 #Fallout3 #Fallout,1952213773,"Crediton, England",0,"[{'url': 'https://t.co/CkqvIGFHst', 'expanded_url': 'https://youtu.be/5ypykvCva8Q', 'display_url': 'youtu.be/5ypykvCva8Q', 'indices': [43, 66]}]",,Fallout 3
