ID,Artist,User_ID,User_Name,Text,Created_Time,Favorites,Retweets,Followers,Friends,Location,Tags
638,Black Sabbath,User_ID: 83759060,User_Name: PGS💫Pop-upStore,Text: 2018年新作限定モデルLong &amp; Lean CollectionとSleeveless Seriesの予約受付開始！https://t.co/XbO1e9cOUn #BLACKSABBATH #NIRVANA… https://t.co/l6uDPHWolk,4/2/2018 4:51,1,0,33071,Friends: 2980,Location: 🔍商品を探す🔜,Tags: #BLACKSABBATH #NIRVANA…
639,Black Sabbath,User_ID: 50571724,User_Name: R'obb O))) ✊🏽,Text: #Thou #ThroughTheEmpiresOfEternalVoid #BlackSabbath #Vinyl #Metal @… https://t.co/6mOhaZIRK6,4/2/2018 4:21,0,0,1593,Friends: 823,Location: South of Heaven,Tags: #Thou #ThroughTheEmpiresOfEternalVoid #BlackSabbath #Vinyl #Metal
640,Black Sabbath,User_ID: 4610880202,User_Name: Lordi Walmir Cavalera,Text: RT @Whiplash_Net: #BlackSabbath: a história por trás de Sabotage https://t.co/vJG29oTgtW https://t.co/dG6n4vx8cT,4/2/2018 4:18,0,5,2929,Friends: 4999,"Location: Sin City,Hell",Tags: #BlackSabbath:
641,Black Sabbath,User_ID: 85664490,User_Name: Leslye Vazquez,"Text: Seee, soy una tía orgullosa #BlackSabbath (aunque ahorita sé que es por #IronMan por algo se empieza). https://t.co/LKVzjFne22",4/2/2018 3:20,1,0,628,Friends: 1783,Location: ,Tags: #BlackSabbath #IronMan
642,Black Sabbath,User_ID: 3105719756,User_Name: Roger Cary,"Text: RT @ctcfanzine: #WednesdayRewind Glenn Hughes @glenn_hughes &amp; Tony Iommi @tonyiommi NOVEMBER 29TH, 1996 @ Wulfrun Hall in Wolverhampton (We…",4/2/2018 1:50,0,8,259,Friends: 396,Location: Texas,"Tags: #WednesdayRewind$1,996"
643,Black Sabbath,User_ID: 1256140123,User_Name: Caspar von Sader,Text: RT @WaxAudio: So cool to see that Black Label Society are still opening their shows by dimming the house lights and CRANKING my Whole Lotta…,4/2/2018 0:43,0,2,1236,Friends: 1897,Location: ,Tags:
644,Black Sabbath,User_ID: 65271340,User_Name: Agung Septian,Text: Sabbath Bloody Sabbath #sabbathbloodysabbath #blacksabbath #heavymetal #metalclassics #70s @… https://t.co/RhiI7HMZ1q,4/2/2018 0:40,0,0,170,Friends: 139,Location: Bogor,Tags: #sabbathbloodysabbath #blacksabbath #heavymetal #metalclassics #70s
645,Black Sabbath,User_ID: 1568159077,User_Name: Tom Compagnoni,Text: RT @WaxAudio: So cool to see that Black Label Society are still opening their shows by dimming the house lights and CRANKING my Whole Lotta…,4/2/2018 0:25,0,2,784,Friends: 612,Location: Sydney,Tags:
646,Black Sabbath,User_ID: 593626471,User_Name: Wax Audio,Text: So cool to see that Black Label Society are still opening their shows by dimming the house lights and CRANKING my W… https://t.co/gUMcIAwlBm,4/2/2018 0:23,8,2,902,Friends: 44,Location: Australia,Tags:
647,Black Sabbath,User_ID: 269392077,User_Name: Rotter and Friends,Text: sundays with sabbath 🌷#blacksabbath https://t.co/aHU9KlhkTf,4/1/2018 23:59,1,0,1088,Friends: 301,"Location: Broooklyn, La La Land",Tags:
648,Black Sabbath,User_ID: 1476806401,User_Name: IndieXL,Text: NowPlaying #BlackSabbath - #GodIsDead on IndieXL radio listen at https://t.co/TPhtQMnTB0,4/1/2018 23:00,0,0,2508,Friends: 1433,"Location: Amsterdam, The Netherlands",Tags: #BlackSabbath #GodIsDead
649,Black Sabbath,User_ID: 722385372651479040,User_Name: My Bud Vase,Text: RT @EvergreenCareME: Sweet Leaf- Black Sabbath https://t.co/gf7l455rER #marijuanamusic #blacksabbath #sweetleaf,4/1/2018 22:43,0,1,568,Friends: 1369,Location: ,Tags: #marijuanamusic #blacksabbath #sweetleaf
650,Black Sabbath,User_ID: 902346759648808960,User_Name: Evergreen Caregiver,Text: Sweet Leaf- Black Sabbath https://t.co/gf7l455rER #marijuanamusic #blacksabbath #sweetleaf,4/1/2018 22:42,0,1,433,Friends: 390,"Location:  Belgrade, Maine",Tags: #marijuanamusic #blacksabbath #sweetleaf
651,Black Sabbath,User_ID: 93041298,User_Name: Miguel Negrón,Text: #BlackSabbath - Headless Cross https://t.co/1WB7sGyOPA vía @YouTube,4/1/2018 21:57,0,0,990,Friends: 2171,"Location: Puerto Montt, Chile",Tags: #BlackSabbath
652,Black Sabbath,User_ID: 305388929,User_Name: Lee Boyes,"Text: @UltraCoeur Already done Vol 4, Heaven &amp; Hell right now! #Easter #BlackSabbath",4/1/2018 21:40,0,0,338,Friends: 175,"Location: Edmonton, AB",Tags: #Easter #BlackSabbath
653,Black Sabbath,User_ID: 305388929,User_Name: Lee Boyes,"Text: Do yourself a favour this #Easter, and treat yourself to some #BlackSabbath! Even listen to that #CharlesBradley cover-ya know? Do you!",4/1/2018 20:45,2,0,338,Friends: 175,"Location: Edmonton, AB","Tags: #Easter, #BlackSabbath #CharlesBradley"
654,Black Sabbath,User_ID: 171179612,User_Name: Core of Destruction,Text: Now playing #BlackSabbath - The Sign Of The Southern Cross on https://t.co/t2fOOq3psh,4/1/2018 20:30,0,0,2885,Friends: 2433,Location: Worldwide,Tags: #BlackSabbath
655,Black Sabbath,User_ID: 880715445824888832,User_Name: CelebritySquash,"Text: RT @celebsquash: Somewhere in the multiverse, comedian Bill Burr is in Black Sabbath. #billburr #BLACKSABBATH #OzzyOsbourne #multivers…",4/1/2018 20:01,0,1,230,Friends: 780,"Location: Timbuktu, Mali",Tags: #billburr #BLACKSABBATH #OzzyOsbourne #multivers…
656,Black Sabbath,User_ID: 35200178,User_Name: John Findley,Text: Update: Fairies Wear Boots #BlackSabbath. And my wife is very difficult to beat at chess. https://t.co/ceasdVVrwQ,4/1/2018 19:50,1,0,847,Friends: 2455,Location: Liverpool. ,Tags: #BlackSabbath.
657,Black Sabbath,User_ID: 3161136647,User_Name: snicket,Text: RT @HailSatan_Ghost: Mon nouveau cover :D https://t.co/nMRVESrLr6 BLACK SABBATH PARANOID LIKE AND SHARE :)) #BLACKSABBATH #rock #metal #H…,4/1/2018 19:21,0,1,116,Friends: 101,Location: Westeros,Tags: #BLACKSABBATH #rock #metal #H…
658,Black Sabbath,User_ID: 926104749065285633,User_Name: Jameson,Text: RT @rockandpoll: Greatest Live Act of All Time? Led Zeppelin Region #LedZeppelin v. #BlackSabbath,4/1/2018 18:24,0,14,267,Friends: 1194,"Location: Datça, Türkiye",Tags: #LedZeppelin #BlackSabbath
659,Black Sabbath,User_ID: 876488252630343680,User_Name: Eight Track Paradise,"Text: Happy 8-Track Heavy Metal Easter with love from the Black Sabbath Ozzy Bunny, Alice Cooper, T-Rex and 8-Track Parad… https://t.co/3TuonBf8zv",4/1/2018 18:21,1,0,57,Friends: 198,"Location: California, USA",Tags:
660,Black Sabbath,User_ID: 802935987206782976,User_Name: Rock: Other Worlds,Text: The immutable virtuoso guitarist of the band Black Sabbath - Tommy Iommi at a very young age. Беззмінний віртуоз-гі… https://t.co/QBO8HM1qXR,4/1/2018 18:20,2,1,29,Friends: 55,Location: Украина,Tags:
