ID,name,full_name,club,club_logo
173771,L. Piszczek,ukasz Piszczek,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
170481,E. Garay,Ezequiel Garay,Valencia CF,https://cdn.sofifa.org/18/teams/461.png
167905,A. Valencia,Antonio Valencia,Manchester United,https://cdn.sofifa.org/18/teams/11.png
163587,K. Schmeichel,Kasper Schmeichel,Leicester City,https://cdn.sofifa.org/18/teams/95.png
162240,M. Demb茅l茅,Moussa Demb茅l茅,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
161956,Borja Valero,Borja Valero Iglesias,Inter,https://cdn.sofifa.org/18/teams/44.png
159147,L. Perrin,Lo茂c Perrin,AS Saint-tienne,https://cdn.sofifa.org/18/teams/1819.png
158963,L. Biglia,Lucas Biglia,Milan,https://cdn.sofifa.org/18/teams/47.png
146748,Diego L贸pez,Diego L贸pez Rodr铆guez,RCD Espanyol,https://cdn.sofifa.org/18/teams/452.png
146562,Santi Cazorla,Santiago Cazorla Gonz谩lez,Arsenal,https://cdn.sofifa.org/18/teams/1.png
142754,J. Mascherano,Javier Mascherano,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
139869,W. Sneijder,Wesley Sneijder,OGC Nice,https://cdn.sofifa.org/18/teams/72.png
139068,Nani,Lu铆s Carlos Almeida da Cunha,Lazio,https://cdn.sofifa.org/18/teams/46.png
53302,D. De Rossi,Daniele De Rossi,Roma,https://cdn.sofifa.org/18/teams/52.png
24630,Jos茅 Reina,Jos茅 Manuel Reina P谩ez,Napoli,https://cdn.sofifa.org/18/teams/48.png
20775,Quaresma,Ricardo Andrade Quaresma Bernardo,Beikta JK,https://cdn.sofifa.org/18/teams/327.png
20289,Y. Tour茅,Yaya Tour茅,Manchester City,https://cdn.sofifa.org/18/teams/10.png
5479,Casillas,Iker Casillas Fern谩ndez,FC Porto,https://cdn.sofifa.org/18/teams/236.png
230621,G. Donnarumma,Gianluigi Donnarumma,Milan,https://cdn.sofifa.org/18/teams/47.png
222492,L. San茅,Leroy San茅,Manchester City,https://cdn.sofifa.org/18/teams/10.png
219809,T. Bakayoko,Ti茅mou茅 Bakayoko,Chelsea,https://cdn.sofifa.org/18/teams/5.png
219683,C. Tolisso,Corentin Tolisso,FC Bayern Munich,https://cdn.sofifa.org/18/teams/21.png
216594,N. Fekir,Nabil Fekir,Olympique Lyonnais,https://cdn.sofifa.org/18/teams/66.png
216451,J. Seri,Jean Micha毛l Seri,OGC Nice,https://cdn.sofifa.org/18/teams/72.png
215785,K. Bald茅 Diao,Keita Bald茅 Diao,AS Monaco,https://cdn.sofifa.org/18/teams/69.png
213331,J. Tah,Jonathan Tah,Bayer 04 Leverkusen,https://cdn.sofifa.org/18/teams/32.png
212404,F. Bernardeschi,Federico Bernardeschi,Juventus,https://cdn.sofifa.org/18/teams/45.png
212188,T. Werner,Timo Werner,RB Leipzig,https://cdn.sofifa.org/18/teams/112172.png
211575,Andr茅 Gomes,Andr茅 Filipe Tavares Gomes,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
211300,A. Martial,Anthony Martial,Manchester United,https://cdn.sofifa.org/18/teams/11.png
208808,Q. Promes,Quincy Promes,Spartak Moscow,https://cdn.sofifa.org/18/teams/100767.png
208618,Lucas V谩zquez,Lucas V谩zquez Iglesias,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
