Book_id,Title,Author,Author_id
1167,"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)",Barbara Park,769
1168,Monkey Business: Are Yor Controlling Events or Are Events Controlling You?,William Oncken III,8032060
1169,Monkey Business,Sarah Mlynowski,771
1170,Monkey Business,J. Otto Seibold,5034674
1171,Liar's Poker,Michael   Lewis,776
1172,Liar's Poker,Michael   Lewis,776
1173,Liar's Poker,Michael   Lewis,776
1174,Liars Poker: A Winning Strategy,John Archer,777
1175,"Liar's Poker: The Great Powers, Yugoslavia and the Wars of the Future",Michel Collon,778
1176,Liars Poker Rising Through The Wreckage/International Edition,Michael   Lewis,776
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,779
1178,Weight Watchers Simply the Best Italian: More than 250 Classic Recipes from the Kitchens of Italy,Weight Watchers,3454980
1179,"Simply Italian: 100 Easy-To-Make, Zesty, Satisfying Favorites",Ruth Glick,781
1180,Simply Bruschetta: Garlic Toast the Italian Way,Vittorio Pellegrino,5684387
1181,"Simply Italian: Easy Recipes That Are Quick to Prepare, Low in Calories, and Kind to Your Budget",Valentina Harris,783
1182,Simply Italian More Than Quick and Easy,Gina Puliciano,784
1183,"Simply Italian: Easy Recipes That Are Quick to Prepare, Low in Calories, and Kind to Your Budget",Valentina Harris,783
1184,Simply Italian,Sophie Braimbridge,785
1185,"Cucina Fresca: Italian Food, Simply Prepared",Laplace Viana,3850085
1186,Simply Pasta & Italian,Helen Walters,787
1187,"Simply Sauté: Fast, Easy, and Healthy Italian Cooking -- All in One Pan",Silvia Bianco,788
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno,789
1189,Simply Tuscan: Recipes for a Well-Lived Life,Pino Luongo,790
1190,Simply Sicilian: Family Recipes,Carol Cappelline Schulte,791
1191,Giada's Family Dinners,Giada De Laurentiis,792
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,792
1193,Everyday Pasta,Giada De Laurentiis,792
1194,Alex & Penny in Egypt,Giada Francia,794
1195,Alex & Penny Ballooning over Italy,Giada Francia,794
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence,795
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence,795
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence,795
1199,Semi-Homemade: Cooking 2,Sandra Lee,796
1200,Developmental Psychology,Florence Laura Goodenough,797
1201,Developmental Psychology,Florence Laura Goodenough,797
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt,798
1203,Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,Steven D. Levitt,798
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt,798
1205,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,798
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,798
1207,Freakonomics  - O Estranho Mundo da Economia,Steven D. Levitt,798
1208,The Semi-Complete Guide to Sort of Being a Gentleman,Brock LaBorde,2908903
1209,Gentleman's Guide to Grooming and Style,Bernhard Roetzel,802
1210,Gentleman's Guide to Grooming and Style,Bernhard Roetzel,802
1211,Gentleman's Guide to Toasting,Dave Fulmer,804
1212,The Gentleman's Guide to Passages South: The Thornless Path Toward Windward,Bruce Van Sant,805
1213,Gentleman's GD.to Etiquette,Clinton T. Greenleaf III,807
1214,Gentleman's Guide To Professional Appearance,Clinton T. Greenleaf III,807
1215,A Well-Dressed Gentleman's Pocket Guide,Oscar Lenius,808
1216,Miracle Collapse: The 1969 Chicago Cubs,Doug Feldmann,809
1217,Collapse,Jared Diamond,256
1218,"The Last Assassin (John Rain, #5)",Barry Eisler,603
1219,"Sicario (John Rain, #1)",Barry Eisler,603
1220,"Blood From Blood (John Rain, #2)",Barry Eisler,603
1221,La Chute de John R.,Barry Eisler,603
1224,"One Last Kill (John Rain, #4)",Barry Eisler,603
1225,Chuva Forte,Barry Eisler,603
1226,Life of Pi,Yann Martel,811
1227,Vida de Pi,Yann Martel,811
1228,Life of Pi,Yann Martel,811
1229,Life of Pi,Yann Martel,811
1230,L'Histoire de Pi,Yann Martel,811
1231,Keys to Investing in Real Estate,Jack P. Friedman,123990
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Carlos Ruiz Zafón,815
1233,The Shadow of the Wind,Carlos Ruiz Zafón,815
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,816
1235,"La sombra del viento (El cementerio de los libros olvidados, #1)",Carlos Ruiz Zafón,815
1236,In the Shadow of the Wind,Anne Hébert,817
1237,Shadows on the Wind,Rita Gallagher,818
1238,Freedom's Shadow,Marlo Schalesky,819
1239,Shadows and Wind,Bob Templer,820
1240,Against Shadows and Winds,N.E. Thompson,821
1241,A Million Little Pieces,James Frey,822
1242,A Million Little Pieces of Feces,Python Bonkers,823
1243,A Million Little Lies,James Pinocchio,824
1244,Sandpaper Sisters,Michele McKnight Baker,825
1245,A Million Little Pieces of Close to Home: A Close to Home Collection,John McPherson,826
1246,The Leadership Challenge,James M. Kouzes,827
1247,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,828
1248,The 21 Irrefutable Laws of Leadership Workbook: Follow Them and People Will Follow You,John C. Maxwell,68
1249,Primal Leadership: Learning to Lead with Emotional Intelligence,Daniel Goleman,829
1250,Leadership: Theory and Practice,Peter G. Northouse,830
1251,Leadership Is an Art,Max DePree,831
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,832
1253,Leadership 101: What Every Leader Needs to Know,John C. Maxwell,68
1254,The Leadership Pipeline: How to Build the Leadership-Powered Company,Ram Charan,1060
1255,Leadership in Organizations,Gary Yukl,834
1256,Complete Giuliani Studies,David Grimes,835
1257,Grand Illusion: The Untold Story of Rudy Giuliani and 9/11,Wayne Barrett,836
1258,120 Studies for Right Hand Development,Mauro Giuliani,837
1259,Leadership Through the Ages: A Collection of Favorite Quotations,Rudolph W. Giuliani,3309447
1260,Mauro Giuliani: Virtuoso Guitarist and Composer,Thomas F. Heck,839
1261,Rudy Giuliani: Emperor of the City,Andrew Kirtzman,840
1262,"The Prince of the City: Giuliani, New York, and the Genius of American Life",Fred Siegel,689
1263,America's Mayor: The Hidden History of Rudy Giuliani's New York,Robert Polner,841
1264,Rudy! An Investigative Biography Of Rudolph Giuliani,Wayne Barrett,836
1265,Leadership,Rudolph W. Giuliani,3309447
1266,Leadership Through the Ages: A Collection of Favorite Quotations,Rudolph W. Giuliani,3309447
1267,A Day in the Life of a Mayor: Featuring New York City Mayor Rudy Giuliani,Liza N. Burby,844
1268,"Faces Of Ground Zero: Portraits Of The Heroes Of September 11, 2001",Rudolph W. Giuliani,3309447
1269,"Music Minus One Guitar: Giuliani Guitar Quintet in A major, op. 65 (Book & CD)",Mauro Giuliani,837
1270,"Mauro Giuliani: Guitar Concerto No. 1 in A Major, Op. 30 [With 2 CDs]",Mauro Giuliani,837
1271,Assessment in Special Education: A Practical Approach,George A. Giuliani,14568
1272,Rudolph Giuliani,Wil Mara,847
1273,Leadership,Rudolph W. Giuliani,3309447
1274,"Men Are from Mars, Women Are from Venus",John Gray,848
1275,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Relationships",John Gray,848
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,848
1277,"Men are from Mars, Women are from Venus",John Gray,848
1278,Freddy and the Men from Mars,Walter R. Brooks,849
1279,"Men Are from Mars, Women Are from Venus: Secrets of Passion/Audio Cassette",John Gray,848
1280,"Men Are From Mars, Women Are From Venus: A Practical Guide For Improving Communication and Getting What You Want",John Gray,848
1281,"Men are From Mars, Women are From Venus Low Price CD",John Gray,848
1282,"Children Are from Heaven: How to Have Strong, Confident Children",John Gray,848
1283,Investing in REITs: Real Estate Investment Trusts,Ralph L. Block,1742444
1284,Playing the REITs Game: Asia's New Real Estate Investment Trusts,Dominic Whiting,852
1285,The essential REIT: A guide to profitable investing in Real Estate Investment Trusts,Ralph L. Block,1742444
1286,Real Estate Securities: The Reit Investment Handbook,Peter Madlem,853
1287,Online Investing Hacks: 100 Industrial-Strength Tips & Tools,Bonnie Biafore,854
1288,J.K. Lasser Pro Real Estate Investment Trusts: New Strategies for Portfolio Management,Richard Imperiale,855
1289,How to Talk to Women,Ron Louis,856
1290,How to Succeed with Women,Ron  Louis,857
1291,Sex Lover's Book of Lists,Ron Louis,856
1292,Kiowa Trail,Louis L'Amour,858
1293,How to Succeed with Men,David Copeland,14281
1294,How to Survive the IRS: My Battles Against Goliath,Michael Louis Minns,860
1295,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,861
1296,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,861
1297,"The Clan of the Cave Bear, Part 1 of 2 (Earth's Children, #1)",Jean M. Auel,861
1298,"The Clan of the Cave Bear, Part 2 of 2 (Earth's Children, #1)",Jean M. Auel,861
1300,The Bad Guys Won!,Jeff Pearlman,863
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,776
1302,Juiced Official Strategy Guide,Doug Walsh,86680
1303,The 48 Laws of Power,Robert Greene,865
1304,The Exp 48 Laws of Power,Robert Greene,865
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,867
1306,Gates Of Fire,Steven Pressfield,867
1307,"Fire Sea (The Death Gate Cycle, #3)",Margaret Weis,869
1308,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,867
1309,"Memory of Fire (The World Gates, #1)",Holly Lisle,870
1310,Fire at Eden's Gate: Tom McCall and the Oregon Story,Brent Walth,871
1311,Through Gates of Fire: A Journey into World Disorder,Martin  Bell,872
1312,The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,873
1313,Gates of Fire,Elwyn M. Chamberlain,874
1314,Fire in the Gates,Thurman C. Petty Jr.,1433863
1315,The Afghan Campaign,Steven Pressfield,867
1316,The Virtues of War: A Novel of Alexander the Great,Steven Pressfield,867
1317,Tides of War,Steven Pressfield,867
1318,Last of the Amazons,Steven Pressfield,867
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,867
1320,Gita on the Green,Stephen J. Rosen,877
1321,"CONQUISTA DE ALEJANDRO MAGNO,",Steven Pressfield,867
1322,Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo,878
1323,Phaedrus,Plato,879
1324,Phaedrus,Plato,879
1325,Symposium/Phaedrus,Plato,879
1326,Phaedrus and Letters VII and VIII,Plato,879
1327,Phaedrus,Plato,879
1328,Phaedrus,Plato,879
1329,Plato's Erotic Dialogues: Symposium/Phaedrus (Ancient Greek Philosophy),Plato,879
1330,Euthyphro. Apology. Crito. Phaedo. Phaedrus.,Plato,879
1331,Babrius and Phaedrus (Loeb Classical Library #436),Babrius,2157
1332,"Parmenides/Philebus/Symposium/Phaedrus/Alcibiades 1-2/Hipparchus/Amatores (Platonis Opera, #2)",Plato,879
1333,The Rhetoric of Morality and Philosophy: Plato's Gorgias and Phaedrus,Seth Benardete,882
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato,879
1335,Listening to the Cicadas: A Study of Plato's Phaedrus,G.R.F. Ferrari,883
1336,Plato's Phaedrus: The Philosophy of Love,Graeme Nicholson,884
1337,Enthusiasm and Divine Madness,Josef Pieper,885
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato,879
1339,"Loving and Dying: A Reading of Plato's Phaedo, Symposium, and Phaedrus",Richard Gotshalk,887
1340,Telling Tales on Caesar: Roman Stories from Phaedrus,Phaedrus,889
1341,The Fables of Phaedrus,Phaedrus,889
1342,Gorgias/Phaedrus (Agora),Plato,879
1343,Fables from Phaedrus,Phaedrus,889
1344,"Plato's ""Phaedrus"": A Defense of a Philosophic Art of Writing",Ronna Burger,890
1345,Phaedrus,Plato,879
1346,Phaedrus-Kommentar,Eberhard Oberg,891
1347,"Rhetoric and Reality in Plato's ""Phaedrus""",David A.   White,15018939
1348,"The Platonism of Marsilio Ficino: A Study of His Phaedrus Commentary, Its Sources and Genesis",Michael Allen,893
1349,Phaedrus,Plato,879
1350,Phaedrus. Fabeln. (Lernmaterialien),Harald Triebnig,894
1351,Statesman,Plato,879
1352,Cratylus,Plato,879
1353,Gorgias,Plato,879
1354,Gorgias,Plato,879
1355,Gorgias,Plato,879
1356,Lysis/Symposium/Gorgias,Plato,879
1357,Gorgias,Plato,879
1358,Gorgias: Encomium of Helen,Gorgias of Leontini,5622822
1359,"Gorgias, Sophist, and Artist",Scott Consigny,897
1360,Gorgias and the New Sophistic Rhetoric,Bruce McComiskey,898
1361,A Friendly Companion to Plato's Gorgias,George Kimball Plochmann,900
1362,The Histories,Herodotus,901
1363,The Histories,Herodotus,901
1364,The History (Great Minds),Herodotus,901
1365,The Histories,Herodotus,901
1366,The Histories,Herodotus,901
1367,The Histories,Herodotus,901
1368,The Histories,Herodotus,901
1369,The History,Herodotus,901
1370,The Persian War (Translations from Greek & Roman Authors),Herodotus,901
1371,The Iliad,Homer,903
1372,The Iliad,Homer,903
1373,Iliad,Homer,903
1374,The Iliad,Homer,903
1375,The Iliad/The Odyssey,Homer,903
1376,The Iliad,Homer,903
1377,The Iliad,Homer,903
1378,The Essential Iliad,Homer,903
1379,An Iliad,Alessandro Baricco,908
1380,The Iliad,Homer,903
1381,The Odyssey,Homer,903
1382,The Odyssey,Homer,903
1383,The Odyssey,Homer,903
1384,The Odyssey,Homer,903
1385,African American Odyssey,Debra Newman Ham,911
1386,Cliffs Notes on Homer's The Odyssey,Stanley P. Baldwin,912
1387,The Odyssey,Homer,903
1388,Odyssey,Homer,903
1389,"Mathematics: A Practical Odyssey (with CengageNOW, Personal Tutor, and Student Book Companion Site Printed Access Card)",David B. Johnson,914
1390,Earth Odyssey: Around the World in Search of Our Environmental Future,Mark Hertsgaard,915
1391,"Aeneid: Selections from Books 1, 2, 4, 6, 10, 12",Virgil,919
1392,Aeneid: Books I-VI,Virgil,919
1393,Vergil Vocabulary Cards for AP Selections,Dennis De Young,918
1394,"Vergil's Aeneid, 10 & 12: Pallas & Turnus (Latin Edition) (Bks. 10) (Bks. 10 & 12)",Virgil,919
1395,"Aeneid: Hero, War, Humanity",Virgil,919
1396,Herding Dogs: Progressive Training,Vergil S. Holland,921
1397,Vergil: A Legamus Transitional Reader,Thomas J. Sienkewicz,923
1398,Latin (Vergil),Jack Rudman,924
1399,Vergil's Aeneid: Books I-VI,Virgil,919
1401,Midwest Eclogue,David Baker,925
1402,Eclogues. Georgics. Aeneid: Books 1-6,Virgil,919
1403,City Eclogue,Ed Roberson,927
1404,Eclogues and Georgics,Virgil,919
1405,The Eclogues and The Georgics,Virgil,919
1406,<I>Eclogues</I> and  <I>Georgics</I> of Virgil,Virgil,919
1407,The Eclogues of Virgil: A Translation,Virgil,919
1408,"Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces, Marinades, Dry Rubs, Wet Rubs, Mops and Salsas",Paul  Kirk,930
1409,The Dry Danube: A Hitler Forgery,Paul West,2985951
1410,"Lacrimal Gland, Tear Film, and Dry Eye Syndromes: Basic Science and Clinical Relevance",David A. Sullivan,2766468
1411,Old Dry Frye,Paul Brett Johnson,940
1412,Power Publicity for Dry Cleaners,Paul Hartunian,941
1413,Dry Water,Paul B. Vitta,942
1414,The Riverside Shakespeare,William Shakespeare,947
1415,World of Shakespeare: The Complete Plays and Sonnets of William Shakespeare (38 Volume Library),William Shakespeare,947
1416,The Norton Shakespeare,William Shakespeare,947
1417,The Complete Pelican Shakespeare,William Shakespeare,947
1418,Complete Works of William Shakespeare,William Shakespeare,947
1419,The Complete Works,William Shakespeare,947
1420,Hamlet,William Shakespeare,947
1421,The Oxford Shakespeare: The Complete Works,William Shakespeare,947
1422,"Shakespeare Set Free: Teaching Romeo & Juliet, Macbeth & Midsumr Night'",William Shakespeare,947
1423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,4390174
1424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho,566
